"name","geo_point_2d","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",8.12506008148193,42,42,1,"2012-02"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",6.55113935470581,42,42,1,"2012-02"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.57402181625366,69,69,1,"2012-02"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",6.95881080627441,27,27,1,"2012-02"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.24343729019165,37,37,1,"2012-02"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.42725563049316,50,50,1,"2012-02"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",4.05931615829468,67,67,1,"2012-02"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.54307198524475,61,61,1,"2012-02"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.42739510536194,67,67,1,"2012-02"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",8.73422050476074,42,42,1,"2012-02"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.81442832946777,61,61,1,"2012-02"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.87988543510437,54,52,0.962962962962963,"2012-02"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",11.5400915145874,54,54,1,"2012-03"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.91984558105469,71,63,0.887323943661972,"2012-03"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.7160496711731,65,65,1,"2012-03"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",4.5944709777832,54,54,1,"2012-03"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",4.07940053939819,44,44,1,"2012-03"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",4.39085245132446,50,50,1,"2012-03"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.97354650497437,24,24,1,"2012-03"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.8656313419342,43,43,1,"2012-03"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.60787725448608,48,48,1,"2012-03"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",2.23107647895813,95,92,0.968421052631579,"2012-03"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",8.1490478515625,42,42,1,"2012-03"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",7.53698444366455,42,42,1,"2012-03"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.46819972991943,69,69,1,"2012-03"
