"name","geo_point_2d","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.77891755104065,67,67,1,"2015-10"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",9.80152225494385,42,42,1,"2015-10"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.21787261962891,61,61,1,"2015-10"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.16971373558044,54,54,1,"2015-10"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",16.96413230896,54,54,1,"2015-11"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",3.86837673187256,71,71,1,"2015-11"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.05072331428528,65,65,1,"2015-11"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.07041025161743,54,54,1,"2015-11"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.67546606063843,44,44,1,"2015-11"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.55632615089417,50,50,1,"2015-11"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.49944734573364,24,24,1,"2015-11"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.47710418701172,43,43,1,"2015-11"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.17027640342712,48,48,1,"2015-11"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.76772439479828,95,95,1,"2015-11"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",6.74735021591187,42,42,1,"2015-11"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",6.68795013427734,42,42,1,"2015-11"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.09937000274658,69,69,1,"2015-11"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",7.94660234451294,27,27,1,"2015-11"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.00973391532898,37,37,1,"2015-11"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.60454368591309,50,50,1,"2015-11"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.61993360519409,67,67,1,"2015-11"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.52426671981812,61,61,1,"2015-11"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.51265788078308,67,67,1,"2015-11"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",10.3551864624023,42,42,1,"2015-11"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.14544773101807,61,61,1,"2015-11"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.08450055122375,54,54,1,"2015-11"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",8.56614017486572,54,53,0.981481481481482,"2015-12"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",2.71799921989441,71,68,0.957746478873239,"2015-12"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",1.62665247917175,65,65,1,"2015-12"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",3.3523383140564,54,54,1,"2015-12"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",1.9389511346817,44,44,1,"2015-12"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",2.53921246528625,50,50,1,"2015-12"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",2.53801083564758,24,24,1,"2015-12"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",2.18651556968689,43,43,1,"2015-12"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",1.93987429141998,48,48,1,"2015-12"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.30941092967987,95,95,1,"2015-12"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",3.80851459503174,42,42,1,"2015-12"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",3.99353289604187,42,42,1,"2015-12"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",2.30280780792236,69,69,1,"2015-12"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",3.31236791610718,27,27,1,"2015-12"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",1.81133425235748,37,37,1,"2015-12"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",3.80178618431091,50,50,1,"2015-12"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",2.42326402664185,67,67,1,"2015-12"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",1.877077460289,61,61,1,"2015-12"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",2.07181644439697,67,65,0.970149253731343,"2015-12"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",5.46669149398804,42,41,0.976190476190476,"2015-12"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",2.16988945007324,61,61,1,"2015-12"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.5011579990387,54,53,0.981481481481482,"2015-12"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",10.3121843338013,54,54,1,"2016-01"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",3.59312582015991,71,71,1,"2016-01"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.27570509910583,65,65,1,"2016-01"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",4.7465672492981,54,54,1,"2016-01"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.73104095458984,44,44,1,"2016-01"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.71866798400879,50,50,1,"2016-01"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.44373846054077,24,24,1,"2016-01"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.66858005523682,43,43,1,"2016-01"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.13229084014893,48,48,1,"2016-01"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.94997704029083,95,95,1,"2016-01"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",5.80230474472046,42,42,1,"2016-01"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",5.96560001373291,42,42,1,"2016-01"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",3.69125699996948,69,69,1,"2016-01"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",5.65457630157471,27,27,1,"2016-01"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.20316457748413,37,37,1,"2016-01"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.30013799667358,50,50,1,"2016-01"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.56892228126526,67,67,1,"2016-01"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.52226328849792,61,61,1,"2016-01"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.46231985092163,67,67,1,"2016-01"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",9.95890998840332,42,42,1,"2016-01"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",3.86656403541565,61,61,1,"2016-01"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.14780712127686,54,54,1,"2016-01"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",9.96537399291992,54,53,0.981481481481482,"2016-02"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",3.26777935028076,71,71,1,"2016-02"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.227703332901,65,65,1,"2016-02"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",4.6067099571228,54,54,1,"2016-02"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.40059280395508,44,44,1,"2016-02"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.39807224273682,50,50,1,"2016-02"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.00139951705933,24,24,1,"2016-02"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.57022738456726,43,43,1,"2016-02"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",2.80086874961853,48,48,1,"2016-02"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.80047786235809,95,95,1,"2016-02"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",4.81331872940063,42,42,1,"2016-02"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",5.37008047103882,42,42,1,"2016-02"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",3.47480630874634,69,69,1,"2016-02"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",4.87254333496094,27,27,1,"2016-02"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",2.91807436943054,37,37,1,"2016-02"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",5.0623950958252,50,50,1,"2016-02"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.33092260360718,67,67,1,"2016-02"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.16958212852478,61,61,1,"2016-02"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",2.9197986125946,67,64,0.955223880597015,"2016-02"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",7.12898826599121,42,42,1,"2016-02"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",3.56405591964722,61,61,1,"2016-02"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",1.6933354139328,54,54,1,"2016-02"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",23.3471240997314,54,54,1,"2016-03"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.91393280029297,71,70,0.985915492957746,"2016-03"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.2958025932312,65,65,1,"2016-03"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.06396150588989,54,54,1,"2016-03"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",4.0019793510437,44,44,1,"2016-03"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.77180004119873,50,50,1,"2016-03"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",5.22022867202759,24,24,1,"2016-03"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.60400056838989,43,43,1,"2016-03"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.33333587646484,48,48,1,"2016-03"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.75879085063934,95,95,1,"2016-03"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",8.98031330108643,42,42,1,"2016-03"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",7.12408351898193,42,42,1,"2016-03"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.30096483230591,69,69,1,"2016-03"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",10.8856191635132,27,27,1,"2016-03"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.1710729598999,37,37,1,"2016-03"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.84008932113647,50,50,1,"2016-03"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.77748775482178,67,67,1,"2016-03"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.71847772598267,61,61,1,"2016-03"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",4.45363473892212,67,66,0.985074626865672,"2016-03"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",11.8284435272217,42,41,0.976190476190476,"2016-03"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.39966058731079,61,61,1,"2016-03"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.2654139995575,54,54,1,"2016-03"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",18.2136421203613,54,54,1,"2016-04"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.46460866928101,71,71,1,"2016-04"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.25225591659546,65,65,1,"2016-04"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.23821449279785,54,54,1,"2016-04"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.82671022415161,44,44,1,"2016-04"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.8427722454071,50,50,1,"2016-04"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",5.12768650054932,24,24,1,"2016-04"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.67462682723999,43,43,1,"2016-04"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.26642847061157,48,48,1,"2016-04"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.80176472663879,95,95,1,"2016-04"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",8.33763313293457,42,42,1,"2016-04"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",7.09751558303833,42,42,1,"2016-04"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.3366436958313,69,69,1,"2016-04"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",8.72953796386719,27,27,1,"2016-04"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",2.99673318862915,37,37,1,"2016-04"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.6439356803894,50,50,1,"2016-04"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.7348620891571,67,67,1,"2016-04"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.69180870056152,61,61,1,"2016-04"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.99651527404785,67,67,1,"2016-04"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",9.60864162445068,42,42,1,"2016-04"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.34011268615723,61,61,1,"2016-04"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.14817523956299,54,54,1,"2016-04"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",12.1705846786499,54,54,1,"2016-05"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.1469464302063,71,71,1,"2016-05"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",1.93268799781799,65,65,1,"2016-05"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.12708282470703,54,54,1,"2016-05"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.02102589607239,44,44,1,"2016-05"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.49593305587769,50,50,1,"2016-05"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.36236763000488,24,24,1,"2016-05"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.45556950569153,43,43,1,"2016-05"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.18568062782288,48,48,1,"2016-05"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.75673460960388,95,95,1,"2016-05"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",7.24175071716309,42,42,1,"2016-05"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",7.09708976745605,42,42,1,"2016-05"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.17152738571167,69,69,1,"2016-05"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",7.02340698242188,27,27,1,"2016-05"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",2.71816492080688,37,37,1,"2016-05"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",7.1548752784729,50,50,1,"2016-05"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.45910477638245,67,67,1,"2016-05"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.56918406486511,61,61,1,"2016-05"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.77083539962769,67,67,1,"2016-05"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",11.2504301071167,42,42,1,"2016-05"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.33573198318481,61,61,1,"2016-05"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.04873204231262,54,54,1,"2016-05"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",NA,54,0,0,"2016-06"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",NA,71,0,0,"2016-06"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",NA,65,0,0,"2016-06"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",NA,54,0,0,"2016-06"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",NA,44,0,0,"2016-06"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",NA,50,0,0,"2016-06"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",NA,24,0,0,"2016-06"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",NA,43,0,0,"2016-06"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",NA,48,0,0,"2016-06"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",NA,95,0,0,"2016-06"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",NA,42,0,0,"2016-06"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",NA,42,0,0,"2016-06"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",NA,69,0,0,"2016-06"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",NA,27,0,0,"2016-06"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",NA,37,0,0,"2016-06"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",NA,50,0,0,"2016-06"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",NA,67,0,0,"2016-06"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",NA,61,0,0,"2016-06"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",NA,67,0,0,"2016-06"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",NA,42,0,0,"2016-06"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",NA,61,0,0,"2016-06"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",NA,54,0,0,"2016-06"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",12.0337209701538,54,54,1,"2016-07"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.31127405166626,71,71,1,"2016-07"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",1.91860270500183,65,65,1,"2016-07"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.32110595703125,54,54,1,"2016-07"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.64700818061829,44,44,1,"2016-07"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.29878187179565,50,50,1,"2016-07"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.40520095825195,24,24,1,"2016-07"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.23298335075378,43,43,1,"2016-07"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.11411380767822,48,48,1,"2016-07"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.60840284824371,95,95,1,"2016-07"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",7.20133304595947,42,42,1,"2016-07"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",6.56256866455078,42,42,1,"2016-07"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.04288673400879,69,69,1,"2016-07"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",7.45554637908936,27,27,1,"2016-07"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",2.49588489532471,37,37,1,"2016-07"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.40089702606201,50,50,1,"2016-07"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.22626209259033,67,67,1,"2016-07"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.69922876358032,61,61,1,"2016-07"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",3.58094477653503,67,67,1,"2016-07"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",10.3810176849365,42,42,1,"2016-07"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.56402826309204,61,61,1,"2016-07"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.04523086547852,54,54,1,"2016-07"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",18.5488605499268,54,54,1,"2016-08"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.52773427963257,71,71,1,"2016-08"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",1.91399657726288,65,65,1,"2016-08"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",5.40865182876587,54,54,1,"2016-08"
"Oakridge","{ ""lon"": -123.12302460370566, ""lat"": 49.226403196402856 }",3.49985241889954,44,44,1,"2016-08"
"Riley Park","{ ""lon"": -123.10314680625231, ""lat"": 49.244766478648643 }",3.55393624305725,50,50,1,"2016-08"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.55262184143066,24,24,1,"2016-08"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.13723373413086,43,43,1,"2016-08"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.08336853981018,48,48,1,"2016-08"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.63202214241028,95,95,1,"2016-08"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",7.36082935333252,42,42,1,"2016-08"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",7.42732667922974,42,42,1,"2016-08"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.16996669769287,69,69,1,"2016-08"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",9.07706642150879,27,27,1,"2016-08"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",2.78981280326843,37,37,1,"2016-08"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",7.25897645950317,50,50,1,"2016-08"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",3.55290460586548,67,67,1,"2016-08"
